Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Sinh vien,Laptop Dell Inspiron 15 3520 WTPRT,2,"CPU Intel Core i5 1135G7 cân mọi  tác vụ học tập, văn phòng
RAM 8 GB DDR4 cho phép bạn chạy đồng thời nhiều chương trình mà không lag, giật
Ổ cứng SSD 512 GB cung cấp không gian lưu trữ rộng lớn cho nhiều tập tin
Màn hình 15.6 inch Full HD cho độ nét cao và hình ảnh sắc nét
",,,12.990.000 đ,Intel UHD Graphics,"Intel Core i5 1135G7 (4.2 GHz, 4 lõi / 8 luồng, 8 MB)",8GB,DDR4 3200 MHz,2 khe (Nâng cấp tối đa 16GB),256GB SSD (M2) PCI-E Gen 4.0 (4x),Vỏ kim loại,,Có,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Thời gian phản hồi 20 ms
Độ sáng 220 nits",Full HD (1920 x 1080 pixels),Có,Windows 11,Wi-Fi v6,Bluetooth v5.2,"Realtek ALC3204
2x 2W","Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",Li-Po,358.5 x 234.9 x 15.52-19.59 mm,1.63 kg,"2x USB 3.2 (USB-A)
2x USB 3.2 (USB Type-C)
1x HDMI 1.4
1x Audio jack (3.5 mm)
1x Đầu đọc thẻ SD
1x Cổng sạc độc quyền",60 Hz,Có đèn nền,,,,,,,
Gaming,Laptop Gigabyte G5 MF-E2VN333SH,7,"Siêu phẩm dành cho game thủ với màn hình rộng 15.6 inch cùng lớp vỏ đen cá tính
CPU Intel Core i5-12500H cân mọi tác vụ nặng nhẹ từ văn phòng tới giải trí
VGA RTX 4050 mạnh mẽ cho mọi thao tác đồ họa cực mượt
Tần số quét 144Hz giúp mọi thao tác chơi game nhanh gọn mà không lo giật, xé hình
RAM 8GB kết hợp cùng ổ cứng 512GB SSD cho không gian lưu trữ thoải mái, mở máy chỉ trong tích tắc
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Latitude E6420,0,"Laptop hoc tập văn phòng với CPU Intel Core i5 2520M cân mọi tác vụ văn phòng
Card đồ họa Intel HD Graphics 3000 cho phép xử lý hình ảnh cơ bản
RAM 4GB mượt mà, hỗ trợ duyệt web nhanh chóng
Ổ cứng 512 GB HDD cho không gian lưu trữ rộng rãi
Màn hình 14 inch cùng độ phân giải HD cho không gian làm việc, giải trí thoải mái
",,,Giá Liên Hệ,,"Intel Core i5 2520M, 2.5GHz",4GB,DDR3 SDRAM 2.5 GHz,,512 GB HDD,,,,,14 inches,,,,,Windows 10,802.11bgn,,,,,35.31 x 24.13 x 3.30 cm,2.09 kg,3x USB 2.0,,,,,,,Intel HD Graphics 3000,,
Van phong,Laptop Asus Zenbook 14X UM5401QA KN209W,84,"Xử lý tốt các tác vụ nặng nề, thoả sức giải trí với các tựa game Esport - AMD Ryzen 5-5600H Card đồ hoạ AMD Radeon™ Graphics
Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag.
Độ phân giải cao 2.8K , màn hình 14.0 inch, tấm nền OLED, tần số quét 90Hz mang lại chất lượng hiển thị rõ nét, mượt mà.
Cổng kết nối đa dạng - Thuận tiện cho người dùng.
Năng lượng bất tận cả ngày với viên pin 63WHrs, 3S1P, 3-cell Li-ion.
Thiết kế mỏng nhẹ, sang trọng thuận tiện di chuyển, mang theo trọng lượng chỉ 1.3 kg
Máy đi kèm Windows 11 bản quyền.
",5.0/5,3.0,18.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Huawei Matebook D14,6,"Thiết kế thời thượng - vỏ nhôm cao cấp, nhẹ chỉ 1.49kg
16GB Ram, chip intel core i5 thế hệ 12 - Hiệu năng vượt trội, không ngại các tác vụ nặng
512GB SSD - Giúp máy khởi động nhanh hơn, lưu trữ các file nặng
Màn hình độ phân giải Full HD cho chất lượng hiển thị sắc nét
",5.0/5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop HP Pavilion 15-EG2062TU 6K790PA,0,"Hiệu năng ổn định - chạy tốt các ứng dụng văn phòng, Core i3 1215U
Đa nhiệm tốt - tích hợp 8GB Ram cho phép mở cùng lúc nhiều ứng dụng
Đàm thoại thả ga qua Video call - Trang bị Webcam 720p
Màn hình 15.6 inch, cho chất lượng hiển thị rõ ràng, thoải mái làm việc hay giải trí
",,,Giá Liên Hệ,Intel Iris Xe Graphics,Intel® Core™ i3-1215U Processor,8GB,8GB DDR4 3200MHz (2 x 4GB),2 x DDR4 3200MHz slots Sodimm (Đã sử dụng),256GB SSD PCIe® NVMe™ M.2,,,,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",,,Windows 11 Home,802.11a/b/g/n/ac (2x2),v5.0,,"Ổ cứng SSD, Wi-Fi 6","3-cell, 41 Wh Li-ion",36.02 x 23.4 x 1.79 cm,1.75 kg,"1 SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
2 SuperSpeed USB Type-A 5Gbps signaling rate
1 HDMI 2.1",,,HP,,,,,,
Sinh vien,Laptop Lenovo Thinkpad T460S,0,"Sử dụng chip i7-6600U cùng card đồ họa Intel HD Graphics 520 giúp bạn xử lý ổn thỏa các tác vụ văn phòng
Màn hình 14 inch kết hợp cùng độ phân giải FulL HD đem đến cho bạn những phút giây trải nghiệm hình ảnh sống động
RAM 24GB giúp bạn thỏa thích mở các tab mà không lo lag máy
Dung lượng ổ cứng SSD 256 cho phép lưu trự lượng lớn dữ liệu trong máy tính
Kích thước laptop mỏng nhẹ, chỉ 1.4 kg cho phép bạn di chuyển dễ dàng, thoải mái
",,,Giá Liên Hệ,Intel HD Graphics 520,"Intel Core i7-6600U (4.70 GHz, 12MB cache)",24GB,DDR4,,PCIe SSD,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,Webcam HD 720p,Có,Windows 11 Pro,,Có,Dolby Home Theater v4,"Ổ cứng SSD, Bảo mật vân tay",,331 x 226.8 x 16.9 mm (Dài x Rộng x Cao),1.13 kg,"3x USB 3.0
1 x RJ45
1 x Cổng mini Display
1 x HDMI
1 x Khe đọc thẻ 4 trong 1
1 x Tai nghe / Microphone
1 x Khe đọc thẻ thông minh
1 x WWAN
1 x WiGig",,,Lenovo,,,Màn hình,,,
Sinh vien,Laptop LG Gram 2023 14Z90R-G.AH75A5,0,"Thiết kế kiểu dáng thanh lịch, dễ dàng mang theo mọi nơi - Có độ mỏng 16.8mm và nhẹ 999g
Chip i7-1360P kết hợp cùng card đồ họa Intel Iris Xe Graphics cho phép bạn thực hiện những công việc văn phòng cũng như chỉnh sửa hình ảnh trên PTS
Trang bị màn hình 14 inch WUXGA tích hợp cùng độ phủ màu DCI-P3 99% đem đến những hình ảnh, thước phim rõ nét, chân thật
Đa dang cổng kết nối, giúp bạn thuận tiện hơn trong công việc và dễ dàng chia sẻ - USB type C, USB Type A, HDMI, DC-in
",,,34.990.000 đ,,"Intel Core i7-1360P 2.2 GHZ (up to 5.0 GHz, 18MB, 12 lõi/luồng)",16GB,LPDDR5 6000MHz,1 khe RAM 16GB,512GB SSD NVMe Gen 4 (2 khe cắm SSD M.2),Vỏ kim loại,,Không,Tấm nền IPS,14 inches,1920 x 1200 pixels (WUXGA),"Màn hình chống chói
Độ sáng 350 nits
Tần số quét 60Hz
Độ phủ màu DCI-P3 99%",Webcam IR FHD IR có 2 micrô,,Windows 11 Home,Intel Wireless-AX211,BT 5.1,Âm thanh HD cùng với Dolby Atmos,"Ổ cứng SSD, Wi-Fi 6",72 Wh Li-Ion,312 x 213.9 x 16.8 mm (Dài x Rộng x Cao),999g,"1x Jack cắm tai nghe
2x USB 4 Gen3x2 Type C
1x HDIM
1x DC-in
2x USB 3.2 Gen2x1","Từ 31Hz đến 144Hz, Thông thường: 60Hz",,,,,,,,
Sinh vien,Laptop LG Gram 2023 14Z90R-G.AH53A5,0,"Chip i5-1340P cùng card đồ họa Intel Iris Xe Graphics giúp bạn thực hiện tốt các công việc văn phòng và giải trị nhẹ
Ram 8GB cùng ổ cứng 256GB kết hợp với 2 khe cắm giúp bạn lưu trữ được nhiều thông tin, dữ liệu
Màn hình 14.0 inches cùng độ phủ màu DCI-P3 lên đến 99% đem lại chất lượng hình ảnh, video rõ nét
Âm thanh HD kết hợp cùng Dolby Atmos giúp bạn có những giây phút trải nghiệm âm nhạc chân thật, sống động
Thiết kế laptop mỏng nhẹ, sang trọn, trọng lượng chỉ 999kg, thích hợp cho bạn mang theo bên mình
",,,Giá Liên Hệ,Intel Iris Xe Graphics,"Intel Core i5-1340P (up to 4.6 GHz, 12MB, 12 lõi/luồng)",8GB,LPDDR5 6000MHz,,256GB SSD NVMe Gen 4 (2 khe cắm SSD M.2),Vỏ kim loại,"Bảo mật SSD
fTPM/HW TPM
Khóa Kensington mỏng",Không,Tấm nền IPS,14 inches,1920 x 1200 pixels (WUXGA),"Màn hình chống chói
Độ sáng 350 nits
Tần số quét 60Hz
Độ phủ màu DCI-P3 99%",Webcam IR FHD IR có 2 micrô,,Windows 11 Home,Intel Wireless-AX211,BT 5.1,Âm thanh HD cùng với Dolby Atmos,"Ổ cứng SSD, Wi-Fi 6",72 Wh Li-Ion,312 x 213.9 x 16.8 mm (Dài x Rộng x Cao),999g,"1x Jack cắm tai nghe
2x USB 4 Gen3x2 Type C
1x HDIM
1x DC-in
2x USB 3.2 Gen2x1",,,,,,,,,WUXGA
Van phong,Laptop Dell Inspiron 5625 99VP91,21,"AMD Ryzen 7 5825U, tốc độ xử lý nhanh chóng cùng card onboad AMD Radeon cho phép chiến các tựa game ESport
Ổ cứng SSD 5126GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag.
Màn hình lớn 16.0 inches, độ phân giải Full HD trên tấm nền IPS mang lại chất lượng hiển thị rõ nét, mượt mà.
Không ngại thiếu sáng - Bàn phím được trang bị LED.
Năng lượng bất tận cả ngày với viên pin 4 Cell, 54 Wh.
Thiết kế mỏng nhẹ, sang trọng thuận tiện di chuyển, mang theo - Nặng 1.802 kg
Máy đi kèm Windows 11 bản quyền.
",,,20.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Vostro 5620 V6I5001W1,3,"Bộ xử lý Intel Core i5-1240P mạnh mẽ, xử lý được mọi tác vụ từ học tập cho đến văn phòng.
RAM 8GB DDR4 mang đến khả năng xử lý đa nhiệm cho mọi công việc.
Màn hình với kích thước 16 inch giúp bạn thoải mái làm việc
Hình ảnh sắc nét với màu sắc chân thực và sống động với độ phân giải FullHD cùng nghệ chống chói Anti Glare.
Bàn phím hỗ trợ LED tiện lợi khi sử dụng sẽ giúp bạn sử dụng tốt hơn trong điều kiện thiếu sáng. 
Máy đi kèm Windows 11 SL bản quyền
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop MSI Gaming Bravo 15 B5DD-417VN,49,"Laptop Gaming mang trong mình CPU AMD Ryzen 5 5600H mạnh mẽ kết hợp cùng card màn hình AMD Radeon RX 5500M 4 GB chơi tốt các tựa game hiện hành như: GTA V, LOL, CS:GO,...
RAM 8 GB hỗ trợ nâng cấp lên đến 64 GB đa nhiệm đáp ứng tốt các công việc hằng ngày như soạn thảo văn bản, học online, chơi game, nghe nhạc,...
Ổ cứng SSD 512 GB cho không gian lưu trữ đủ dùng, lưu 2 - 3 tựa game nặng hay tập tin công việc, học tập mà không lo bị thiếu dung lượng đi kèm tốc độ truy xuất dữ liệu nhanh chóng, mở máy chưa đến 10 giây.
Màn hình 15.6 inch với độ phân giải Full HD sắc nét, góc nhìn rộng lên đến 178 độ nhờ công nghệ IPS giúp màu sắc không biến đổi khi chuyển vị trí nhìn khác nhau.
Bàn phím có hành trình phím sâu, độ nảy tốt, đèn nền bàn phím màu đỏ cho không gian chơi game phấn khích hơn.
Máy trang bị hệ thống tản nhiệt tốt, đem lại nhiệt độ mát mẻ, dễ chịu khi sử dụng.
",,,15.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop MSI Cyborg 15 A12VE-412VN,3,"Mang vẻ ngoài vô cùng tân tiến với đường nét đều mạnh mẽ, cá tính
CPU Intel Core i5-12450H đảm bảo tốc độ xử lý nhanh gọn
GPU RTX 4050 tân tiến cho ra khả năng xử lý đa tác vụ, từ chơi game đến làm việc
Không gian lưu trữ rộng rãi với 512GB SSD, lưu trữ mọi tài liệu, game và phần mềm
Màn hình 15.6 inch Full HD cùng tần số quét 144Hz, đảm bảo thao tác mượt mà, bắt kịp mọi chuyển động
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002,8,"Thiết kế với trọng lượng nhẹ 1.25 kg dễ dàng mang theo mọi nơi
CPU Intel Core i5-1240P mạnh mẽ cân mọi tác vụ làm việc, học tập
RAM 16GB đa nhiệm hỗ trợ mở hàng chục tabs web cùng lúc không lo lag, giật
Ổ cứng 512GB SSD rộng rãi giúp lưu trữ file, tài liệu thoải mái
Trang bị các kết nối như: USB 3.2 Type-A, HDMI và ThunderBolt 4 giúp sao lưu, truyền tải dữ liệu tốc độ cao
",,,18.490.000 đ,Intel Iris Xe Graphics,"Intel Core i5-1240P (3.3GHz~ 4.4GHz, 12 lõi / 16 luồng)",16GB,LPDDR4X Onboard,,512GB SSD M.2 PCIe,,,Không,Tấm nền IPS,14 inches,2560 x 1440 pixels (2K),,FHD audio/video recording,,Windows 11 Home,Intel Wireless Wi-Fi 6 AX201,Bluetooth 5.1,2W x 2,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",56Wh,321 x 210.8 x 15.9 mm,1.25 kg,"2x USB 3.2 Gen1 Type-A
2x Thunder Bolt 4
1x HDMI 2.0
1x Mic-in/ Headphone-out combo jack
1x DC-in
LAN Gigabit",,,,,,,,,
Sinh vien,Laptop Asus ExpertBook B1 B1500CBA-BQ0249W,0,"Sở hữu thiết kế tinh tế với tone màu đen sang trọng cùng trọng lượng chỉ 1.73 kg
Hỗ trợ xử lý nhanh gọn các tác vụ văn phòng Word, Excel, PowerPoint,... với CPU Intel Core i5-1235U
Card Intel UHD Graphics giúp chỉnh sửa hình ảnh cơ bản
RAM 8GB cùng ổ cứng 512GB SSD hỗ trợ lưu trữ mọi file, tài liệu,...
Màn hình 15.6 inch Full HD giúp giải trí, làm việc với màu sắc sống động, chân thực
",,,14.990.000 đ,Intel UHD Graphics,"Intel Core i5-1235U (1.3 GHz, 12M Cache, up to 4.4 GHz, 10 lõi)",8GB,DDR4 Onboard,1x DDR4 SO-DIMM trống,"512GB M.2 NVMe PCIe 4.0 SSD
1x STD 2.5” SATA HDD trống",Vỏ nhựa,"BIOS Booting bảo vệ mật khẩu người dùng
Computrace ready from BIOS
HDD bảo vệ và bảo mật mật khẩu người dùng
Mô-đun nền tảng đáng tin cậy (TPM) 2.0
Cảm biến vân tay tích hợp với Phím nguồn
Khe bảo mật Kensington",Không,,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói",720p HD với màn trập camera,Có,Windows 11 Home,Wi-Fi 6 (802.11ax) (Dual band) 2*2,Bluetooth 5.2,"Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","42WHrs, 3S1P, 3-cell Li-ion",35.80 x 23.65 x 1.94 ~ 1.94 cm (W x H x D),1.73 kg,"1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt 4 (Display / Sạc / 1x HDMI 1.4) 1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in/Đầu đọc thẻ Micro SD",60 Hz,Bàn phím Chiclet có đèn nền,,,,Màn hình,,,
Van phong,Laptop Asus VivoBook 14 X1404VA-NK125W,0,"Màn hình 14 inch kết hợp cùng tính năng chống chói sẽ giúp bạn đỡ đau mắt trong quá trình sử dụng
CPU Intel Core i5-1335U giúp bạn xử lý mọi công việc văn phòng và xử lý hình ảnh nhẹ trên PTS
Ổ cứng SSD 256GB giúp bạn có thể lưu trữ được nhiều dung lượng
Thiết kế laptop mỏng nhẹ với màu bạc sang trọng, trọng lượng chỉ 1.4kg, thích hợp để bạn mang theo bên mình
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Inspiron 3511 5829BLK,41,"Thiết kế cứng cáp, sang trọng với màn hình cảm ứng 15.6 inch Full HD
Cân mọi tác vụ học tập, văn phòng với CPU Intel Core i5-1135G7
Card Intel Iris Xe graphics hỗ trợ lướt web, xem phim hay giải trí với các tựa game nhẹ
RAM 8GB đa nhiệm cùng ổ cứng 256GB SSD ccho không gian lưu trữ đủ dùng
Webcam HD 720p giúp hình ảnh thêm sắc nét trong các buổi họp, video call, meet,...
",,,13.490.000 đ,Intel Iris Xe graphics,Intel Core i5-1135G7,8GB,,,256GB SSD,Vỏ nhựa,,Có,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,HD 720p,Có,Windows 11 Home in S mode,Wi-Fi 5 802.11AC,Có,Loa âm thanh nổi,"Ổ cứng SSD, Màn hình cảm ứng",41 Whr,17.78 x 358.14 x 236.22 mm (Cao x Rộng x Sâu),1.72 kg,"3x USB Type A
1x HDMI
1x Đầu đọc thẻ SD",,,,,,,,,
Gaming,Laptop HP Gaming Victus 15-FA0108TX 7C0X0PA,1,"Sở hữu thiết kế tinh tế không quá hầm hố với tone màu xanh đẹp mắt, thuộc phân khúc mỏng nhẹ trong dòng laptop gaming với trọng lượng chỉ 2.26kg.
CPU Intel Core i7-12700H kết hợp cùng với Card đồ họa rời NVIDIA GeForce RTX RTX 3050Ti 4GB cân mọi tựa game hiện đại, làm đồ họa, render video với tốc độ mượt mà và nhanh chóng hơn bao giờ hết.
Bộ nhớ RAM 16GB và ổ cứng SSD 512GB cho tốc độ khởi động, bật/ tắt máy và ứng dụng chỉ trong vài giây.
Màn hình 15.6 inch, độ phân giải Full HD với tấm nền IPS cho độ sắc nét cao. Tốc độ làm mới 144Hz giúp bạn tận hưởng những bộ phim hành động bom tấn sắc nét hay chơi những tựa game online ở cường độ cao mà vẫn giữ nguyên được chất lượng hiển thị.
Máy trang bị rất đầy đủ các cổng kết nối như: USB Type A, USB Type C, jack cắm tai nghe, HDMI,... đảm bảo việc trao đổi dữ liệu được diễn ra một cách nhanh chóng.
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop Gaming Acer Nitro 5 Eagle AN515-57-54MV NH.QENSV.003,287,"Thiết kế đậm chất gaming cứng cáp, hầm hố và có độ hoàn thiện cao
Màn hình FullHD kích thước chuẩn 15,6 inch, hiển thị sắc nét, màu sắc sống động
Hiệu năng mạnh mẽ, đa nhiệm mượt mà - Intel Core i5-11400H, RAM 8GB
Năng lượng bất tận cả ngày với viên pin 4-cell, 57.5 Wh
",5.0/5,3.0,19.990.000₫,NVIDIA® GeForce RTX™ 3050 4G,Intel® Core™ i5-11400H – CPU thế hệ 11 mới nhất,8GB,"DDR4 3200Mhz, 2 khe cắm tối đa 32GB",,"512GB SSD PCIe NVMe (nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)",Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Tần số quét 144Hz, LED-backlit TFT LCD",HD 720p,Có,Windows 10 Home SL,802.11 ax,v5.1,Acer TrueHarmony technology; Acer Purified,"Ổ cứng SSD, Wi-Fi 6","4-cell, 57.5 Wh",363.4 (W) x 255 (D) x 23.9 (H) mm,2.2 kg,"1 x USB Type C
1 x USB 3.2 Gen 1 port featuring power-off USB charging
2 x USB 3.2 Gen 1 ports
1 x Ethernet (RJ-45) port
1 x HDMI® 2.0",,,,,,,,,
Van phong,Laptop Asus VivoBook 15 X1504VA-NJ070W,15,"Màn hình 15.6 inch Full HD cho hình ảnh sắc nét, màu sắc chính xác
Bộ vi xử lý Intel Core i5 1335U mạnh mẽ chạy đa tác vụ mượt mà
Card tích hợp Intel Iris Xe Graphics giúp cải thiện hiệu suất xử lý đồ họa cũng như chơi game cơ bản
RAM 16 GB DDR4 cung cấp khả năng đa nhiệm trơn tru với tốc độ truyền dữ liệu nhanh
Ổ cứng SSD 512 GB giúp máy khởi động, tải ứng dụng và tập tin ngay tức thì
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop LG GRAM 2IN1 14T90R-G.AH55A5,0,"Chip i5-1340P kết hợp cùng Intel Iris Xe Graphics đem lại nhiều tiện ích trong việc giải quyết công việc văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 14 inch kết hợp cùng độ phủ màu DCI-P3 99% và công nghệ chống chói giúp bạn trải nghiệm được hình ảnh sống động nhưng vẫn bảo vệ được đôi mắt
RAM 16GB cùng ổ cứng SSD 512GB giúp bạn tự tin lưu trữ dữ liệu mà không sợ hết
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 1.25 kg, rất dễ dàng để bạn mang theo bên người mà không lo nặng vai
",,,34.290.000 đ,,"Intel Core i5-1340P 1.9 GHz (up to 4.6 GHz, 12MB Cache, 12 lõi/luồng)",16GB,LPDDR5 6000MHz,1 thanh RAM 16GB,512GB SSD NVMe Gen 4 (1 khe cắm SSD M.2 trống),,,Có,Tấm nền IPS,14 inches,1920 x 1200 pixels (FullHD+),"Màn hình chống chói
Độ sáng 350 nits
Độ phủ màu DCI-P3 99%",Webcam IR FHD IR có nhận diện khuôn mặt,,Windows 11 Home,Intel Wireless-AX211,BT 5.1,Âm thanh HD cùng với Dolby Atmos,"Ổ cứng SSD, Wi-Fi 6",72 Wh Li-Ion,31.4 x 21.95 x 1.68 cm (Dài x Rộng x Cao),1.25 kg,"2x USB 4 Gen3x2 Type C
USB Type A",60Hz,,,,,,Intel Iris Xe Graphics,,
Sinh vien,Laptop HP Elitebook 640 G9,0,"Người bạn đồng hành tuyệt vời khi sở hữu kích thước mỏng nhẹ chỉ 1.38kg cùng tông bạc sang trọng
Sở hữu chip i7 1255U mạnh mẽ, chắc hẳn sẽ đáp ứng tốt các nhu cầu văn phòng và hình ảnh
RAM 16GB giúp bạn tha hồ mở nhiều tab mà không lo giật lag
SSD 512GB cho bạn một không gian lưu trữ rộng lớn cùng khả năng khởi động nhanh chóng ứng dụng
Màn hình 14 inch Full HD cho ra hình ảnh chân thật, rõ nét
",,,Giá Liên Hệ,Intel UHD Graphics,"Intel Core i7 1255U (2.1 GHz, up to 4.7 GHz, 10 nhân/ 12 luồng, 12MB Cache)",16GB,DDR4,2 Thanh RAM hỗ trợ tối đa lên 32GB,512 GB SSD NVMe PCIe 2280,Vỏ kim loại,Bảo vật vân tay,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"45% NTSC
Chống chói Anti Glare
250 nits",Có,,Windows 11 Home,Wi-Fi 6,Bluetooth 5,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,32.19 x 21.39 x 1.99 cm,1.38 kg,"1 x USB 3.1 Type-C
2 x USB 3.1 Gen 1
1 x HDMI 1.4b
1 x RJ-45
1 x Jack cắm tai nghe
1 x AC power
1 x USB 2.0",,Đèn bàn phím đơn sắc trắng có chống tràn,HP,,,,,,
Sinh vien,Laptop HP Elitebook 840 G5,0,"Sở hữu thiết kế tinh tế với vỏ màu bạc sáng bóng
Màn hình 14 inch Full HD cho hình ảnh thể hiện rõ ràng, sắc nét, màu sắc trung thực
Card đồ họa tích hợp Intel UHD Graphics đáp ứng tốt chỉnh ảnh, chơi game cơ bản
RAM 8GB cùng ổ cứng 256GB hỗ trợ mở máy, lướt web nhanh chóng
Trọng lượng chỉ 1.48 kg dễ dàng bỏ vào balo, mang theo khắp nơi
",,,Giá Liên Hệ,,Intel Core i5 - 8350U,8GB,DDR4 (có hỗ trợ nâng cấp),,SSD 256GB,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),,,,,,,,Ổ cứng SSD,,,1.48 kg,"2x USB 3.1 Gen 1
SmartCard reader
HDMI
Combo Audio
RJ-45
Docking port
Thunderbolt (USB Type-C)",,,,,,,,,
